no.,content,Label
1,iklan aplikasi gak ngotak muncul ganggu banget durasi muncul instal aplikasi bikin bintang doang,negatif
2,aplikasi tdk isi data sdh lengkap alih aplikasi ingat keras tolong hapus data sy jgn salah ya,negatif
3,daftar ditelpn nomor yg beda ganggu aja serius pdhl niat daftar doang blm niat minjem auto langsung hapus akun nya ga suka telpon serasa tagih hutang pdhl blm minjem tolong prosedur kerja nya tingkat jgn sampe ganggu customer awas aja kalo sampe data gw sebar daftar akun pinjol kalo sampe sebar behh parah,negatif
4,biaya layan jd pinjam jt total bayar jt teliti aplikasi jgn ceroboh,negatif
5,lumayan pakai pas desak lihat bunga sih tp bulan bulan kalah rentenir bulan ga deh pake aps berat bunga ojk bunga segitu,negatif
6,jaring layan buruk gak guna pas bayar ganggu jaring bayar lelah pulang pergi bayar ganggu jaring nyesal aja maka adakami,negatif
7,yth guna aplikasi adakami aprialis hallo info tagih aplikasi adakami jatuh tempo total tagih rp laku bayar tagih tunggak virtual account tera aplikasi adakami masuk ni aplikasi jebak maksud usut polisi nama ada ngada ni,negatif
8,coba daftar tau sesuai iklan limit tp biaya tangan mending ga instal ni aplikasi data hapus data base data perlu lapor wajib okt,negatif
9,aplikasi berisik agen nya wa tlpn kalimat ga masukin sekolah ngomongnya kaya motor yg cc nya gede udh bayar kadang msh chatin tolong tuh evaluasi,negatif
10,adakami tolong hapus data ya salahgunakan data data mengatasnamakan pasti bandung uninstall apk terima kasih,negatif
11,minjemcuman bilang iklan ganggu maksa bgt iklan muncul,negatif
12,woiii iklan ngotak mana iklan lu muak gw udah iklan gak mutu gin sesat jelek heran gw iklan gk mutu gin tampil mulu gak skip,negatif
13,bagus aplikasi iklan apalagicuma nga aplikasi ulur tolak pinjam turunin bintang tuju klu naik bintang turunin bintang nga limit muncul turun limit tawarin pinjam nga aplikasi bintang,negatif
14,tolong kakkerja samanyakenapa pas tanggal bayar udah bayartapi pas bayar gak tera aplikasi nyaya aku bayar lebih sedikittapi emang gak bisatolong duit kembalikanreversal rek lagisupaya bayar lagitolong kerja sama jugaapakah aplikasi nya rusakkenapa bayartunggu proses jam duluada inijangan orang bingung sy tf bni,negatif
15,keren limit nya tipu liat rincian biaya biaya layan dekat yg pinjam pantes aja yg stress bundir gara-gara biaya yg ga masuk akal,negatif
16,barusan install dan isi datadan tdk acc jdi tlong hpus data saya krna tdk jdi aju pinjam,negatif
17,gak guna promosi ribet gak pakai modal nyoba minjem pake acara bln minjem yg minjem feed nya buruk,negatif
18,tuju aplikasi isi data ngk proses bikin ribet mals bnget pinjam udah lengkap isi data harap ngk salah data ya tindak lapor bnr salah data diam mana pinjol ngk bohong catat ya,negatif
19,aplikasi langsung arah pinjam jlh juta dgn cicil thn back revisi jlh kagaaaaaa bisaaa revisi stuck jlh juta maksaaaaa banget minjam juta tolong baik aplikasi,negatif
20,mohon maaf uninstall aplikasi buruk ajuin cicil langsung lunas pinjam aju tolak aplikasi buruk,negatif
21,aplikasi payah nolak data laku bayar lancar aplikasi tolak data doang mantab auto bintang daftar aplikasi terima kasih,negatif
22,pinjam juta balikinnya kali lipat rincian bunga gak tp biaya layan udah kyk hutang pokok jatuh tempo udah tlfn,negatif
23,muas hasil tambah limit serta kartu npwp limit angka juta serta kartu npwp nya limit ribu aja payah nama tipu publik seauai expektasi,negatif
24,norak banget nih aplikasi iklan mana bikin jengkel aja ga sih berhentiin promosi ganggu nyaman bngt udah gatel bngt nih jempol ken ngasih satu jalan hrs didownload aplikasi murah ngasih tau dih cuihh ,negatif
25,kesini kesana notif tunggu jam eh cair tagih -mail hub cs gantung blm jelas bosok,negatif
468,pinjam online cepat bunga ringan ribet syarat moga akun acc terimakasih,positif
469,bantu alami sulit uang proses cepat mudah tinggal sabar tunggu aja cair terima kasih adakami,positif
470,pinjam online cepat bagus suka aplikasi adakami,positif
471,aplikasi pinjam uang tunai cepat mudah dgunakan,positif
472,aju langsung acc bayar cicil langsung pinjam langsung masuk rekening aplikasi bantu,positif
473,kasih bintang cair ny cepat ga ribet walopun limit ,positif
474,mudah mejaga bagaus ribet layan okmemang adakami beda lainsejauh ok tambah limit,positif
475,proses aju mudahdan cepatsangat bantu waktu butuh,positif
476,aplikasi nya membantudaftar nya ribetproses nya cepat terimakasih,positif
477,aplikasi pinjam uang tunai cepat terpercayaburuan download gampang banget lho approvenya,positif
478,aplikasi pinjam uang bagus langsung masuk dana cair limit lumayan cepat online,positif
479,puas proses cepat bantu butuh desak,positif
480,baguscepat mudah pndaftran data yg akurat konssisten bayar utang,positif
481,jujur manipulasi data  wanprestasi insyaallah aman limit jt nyata,positif
482,bantu layan baikpokox aplikasi mmng ngetopada kamimemang bantu,positif
483,tunai cepat pinjam uang aplikasi mudah cepat rekomendasi aplikasi,positif
484,mantapp isi ga ribet cepat bener bener guna bgt yg butuh dana cepat ikut atur bayar susah,positif
485,pilih pinjol yg temu aplikasi adakami jgn lupa amanah tq,positif
486,adakami bantu butuh isi data nya nggak rumit mudah,positif
487,coba bintang kalo udah cair kasih bintang dana udah cair kasih bintang  bagus bantu makasih adakami udah bantu ,positif
488,adakami bantu saat lg butuh tingkat via bayar bank bca karna pake -bca,positif
489,muas bunga mudah cair data aman jugaamanah,positif
490,alhamdulillah tuju limit lumayan naik inti tolong orang yg sulit uang yg desak mudah - mudah depa bagus nasabah ragu pinjam adakami salam sucses,positif
491,gabung adakami layan nya erti,positif
408,bunga jangka so far bantu sih kalo pepet,positif
